"{1.*^-9, 0.0029766119189914985}","{1.2589254117941663*^-9, 0.0029793807590616454}","{1.584893192461111*^-9, 0.002982869965845295}","{1.9952623149688828*^-9, 0.0029872680803444433}","{2.511886431509582*^-9, 0.0029928136485246394}","{3.1622776601683795*^-9, 0.0029998088686416487}","{3.981071705534969*^-9, 0.00300863718705538}","{5.011872336272715*^-9, 0.0030197861131050583}","{6.309573444801917*^-9, 0.003033877003381471}","{7.943282347242822*^-9, 0.0030517042635695244}","{1.*^-8, 0.0030742874490812524}","{1.2589254117941687*^-8, 0.003102941302857492}","{1.5848931924611143*^-8, 0.0031393711597253395}","{1.9952623149688786*^-8, 0.0031858048884542403}","{2.511886431509582*^-8, 0.003245178514239504}","{3.162277660168379*^-8, 0.003321402391782212}","{3.981071705534969*^-8, 0.003419750991178549}","{5.011872336272725*^-8, 0.003547446941331106}","{6.30957344480193*^-8, 0.003714558143569173}","{7.943282347242805*^-8, 0.00393541317510348}","{1.*^-7, 0.004230899771789958}","{1.2589254117941662*^-7, 0.004632315223401958}","{1.584893192461111*^-7, 0.005188036520266379}","{1.995262314968883*^-7, 0.00597550049627118}","{2.5118864315095823*^-7, 0.007123570984746499}","{3.162277660168379*^-7, 0.008856044554465276}","{3.981071705534969*^-7, 0.01157991445461163}","{5.011872336272725*^-7, 0.016071955277239643}","{6.30957344480193*^-7, 0.023887577800977233}","{7.943282347242822*^-7, 0.03827807962465718}","{1.*^-6, 0.06624896155657994}"
"{1.*^-9, 2.9025774512182143*^-11}","{1.2589254117941663*^-9, 3.107498239051347*^-11}","{1.584893192461111*^-9, 3.3820867408258005*^-11}","{1.9952623149688828*^-9, 3.755364132212014*^-11}","{2.511886431509582*^-9, 4.2715759773114734*^-11}","{3.1622776601683795*^-9, 4.999947590214695*^-11}","{3.981071705534969*^-9, 6.049340842393903*^-11}","{5.011872336272715*^-9, 7.606455214312896*^-11}","{6.309573444801917*^-9, 9.979299022300026*^-11}","{7.943282347242822*^-9, 1.37047021353887*^-10}","{1.*^-8, 1.9738888641862263*^-10}","{1.2589254117941687*^-8, 2.983479300602126*^-10}","{1.5848931924611143*^-8, 4.73275222689975*^-10}","{1.9952623149688786*^-8, 7.881478584839792*^-10}","{2.511886431509582*^-8, 1.3786587102579984*^-9}","{3.162277660168379*^-8, 2.5338561936153248*^-9}","{3.981071705534969*^-8, 4.888943367638863*^-9}","{5.011872336272725*^-8, 9.878150297709281*^-9}","{6.30957344480193*^-8, 2.081198315570033*^-8}","{7.943282347242805*^-8, 4.545215165475602*^-8}","{1.*^-7, 1.0217202351529788*^-7}","{1.2589254117941662*^-7, 2.3459369204875573*^-7}","{1.584893192461111*^-7, 5.459573424731548*^-7}","{1.995262314968883*^-7, 1.2787887286797079*^-6}","{2.5118864315095823*^-7, 2.995650789575935*^-6}","{3.162277660168379*^-7, 6.980301536498338*^-6}","{3.981071705534969*^-7, 0.000016105230975025577}","{5.011872336272725*^-7, 0.00003665882406670998}","{6.30957344480193*^-7, 0.00008210139121636335}","{7.943282347242822*^-7, 0.00018064450271306737}","{1.*^-6, 0.000390369633614337}"
"{1.*^-9, 4.252735516359617*^-11}","{1.2589254117941663*^-9, 4.511151568609867*^-11}","{1.584893192461111*^-9, 4.856589165222477*^-11}","{1.9952623149688828*^-9, 5.325231094924246*^-11}","{2.511886431509582*^-9, 5.97267568860969*^-11}","{3.1622776601683795*^-9, 6.887179198996116*^-11}","{3.981071705534969*^-9, 8.213904703058702*^-11}","{5.011872336272715*^-9, 1.0200904246061269*^-10}","{6.309573444801917*^-9, 1.3289048343786182*^-10}","{7.943282347242822*^-9, 1.8295238540856624*^-10}","{1.*^-8, 2.679409820049754*^-10}","{1.2589254117941687*^-8, 4.193076945035417*^-10}","{1.5848931924611143*^-8, 7.01794827002855*^-10}","{1.9952623149688786*^-8, 1.2519357976848764*^-9}","{2.511886431509582*^-8, 2.3636578442406055*^-9}","{3.162277660168379*^-8, 4.683550750929704*^-9}","{3.981071705534969*^-8, 9.662875994519093*^-9}","{5.011872336272725*^-8, 2.0600404230714105*^-8}","{6.30957344480193*^-8, 4.502142799089351*^-8}","{7.943282347242805*^-8, 1.000940226141124*^-7}","{1.*^-7, 2.2512499825157352*^-7}","{1.2589254117941662*^-7, 5.10250491960123*^-7}","{1.584893192461111*^-7, 1.1612671395179925*^-6}","{1.995262314968883*^-7, 2.6428661190466505*^-6}","{2.5118864315095823*^-7, 5.987181022552113*^-6}","{3.162277660168379*^-7, 0.000013441921623881734}","{3.981071705534969*^-7, 0.0000298129311031674}","{5.011872336272725*^-7, 0.00006523703530356907}","{6.30957344480193*^-7, 0.00014090469892586395}","{7.943282347242822*^-7, 0.0003007642462754243}","{1.*^-6, 0.0006353221132128061}"
"{1.*^-9, 2.625937505007737*^-11}","{1.2589254117941663*^-9, 2.811327625123537*^-11}","{1.584893192461111*^-9, 3.0597455424303756*^-11}","{1.9952623149688828*^-9, 3.3974464714447306*^-11}","{2.511886431509582*^-9, 3.864459003360801*^-11}","{3.1622776601683795*^-9, 4.523410699930621*^-11}","{3.981071705534969*^-9, 5.472787984331036*^-11}","{5.011872336272715*^-9, 6.881496312542069*^-11}","{6.309573444801917*^-9, 9.028188228137173*^-11}","{7.943282347242822*^-9, 1.2398529216566727*^-10}","{1.*^-8, 1.785760720013964*^-10}","{1.2589254117941687*^-8, 2.6991287304244915*^-10}","{1.5848931924611143*^-8, 4.2816812930552234*^-10}","{1.9952623149688786*^-8, 7.130307651966315*^-10}","{2.511886431509582*^-8, 1.2472609860428159*^-9}","{3.162277660168379*^-8, 2.2923584720600802*^-9}","{3.981071705534969*^-8, 4.4229861096569795*^-9}","{5.011872336272725*^-8, 8.93667982433039*^-9}","{6.30957344480193*^-8, 1.8828426817415575*^-8}","{7.943282347242805*^-8, 4.1120180845968516*^-8}","{1.*^-7, 9.243417377157277*^-8}","{1.2589254117941662*^-7, 2.1223494798752584*^-7}","{1.584893192461111*^-7, 4.939230342097872*^-7}","{1.995262314968883*^-7, 1.1569094503272754*^-6}","{2.5118864315095823*^-7, 2.7101401745376194*^-6}","{3.162277660168379*^-7, 6.315020325559641*^-6}","{3.981071705534969*^-7, 0.000014570267548375766}","{5.011872336272725*^-7, 0.00003316493103942911}","{6.30957344480193*^-7, 0.00007427644086392136}","{7.943282347242822*^-7, 0.00016342756833194087}","{1.*^-6, 0.00035316413737514115}"
"{1.*^-9, 2.3344707796420816*^-11}","{1.2589254117941663*^-9, 2.4763241093967676*^-11}","{1.584893192461111*^-9, 2.66594651337558*^-11}","{1.9952623149688828*^-9, 2.923199949593143*^-11}","{2.511886431509582*^-9, 3.278604224097252*^-11}","{3.1622776601683795*^-9, 3.7806061807074305*^-11}","{3.981071705534969*^-9, 4.508890742458805*^-11}","{5.011872336272715*^-9, 5.5996220616511*^-11}","{6.309573444801917*^-9, 7.294808234422856*^-11}","{7.943282347242822*^-9, 1.0042874770548463*^-10}","{1.*^-8, 1.470818460792912*^-10}","{1.2589254117941687*^-8, 2.3017210398835908*^-10}","{1.5848931924611143*^-8, 3.852386868750364*^-10}","{1.9952623149688786*^-8, 6.872289833885462*^-10}","{2.511886431509582*^-8, 1.297488530132278*^-9}","{3.162277660168379*^-8, 2.5709474957398165*^-9}","{3.981071705534969*^-8, 5.304232524029338*^-9}","{5.011872336272725*^-8, 1.1308065586838538*^-8}","{6.30957344480193*^-8, 2.4713021757553847*^-8}","{7.943282347242805*^-8, 5.494174709692927*^-8}","{1.*^-7, 1.235650439962545*^-7}","{1.2589254117941662*^-7, 2.800375407100017*^-7}","{1.584893192461111*^-7, 6.37236880404157*^-7}","{1.995262314968883*^-7, 1.4499295370759564*^-6}","{2.5118864315095823*^-7, 3.283678512143746*^-6}","{3.162277660168379*^-7, 7.369450347615641*^-6}","{3.981071705534969*^-7, 0.0000163379409016583}","{5.011872336272725*^-7, 0.00003573598271603356}","{6.30957344480193*^-7, 0.00007715496625471615}","{7.943282347242822*^-7, 0.0001646301746526927}","{1.*^-6, 0.0003476428043213711}"
"{1.*^-9, 2.6141346205329713*^-11}","{1.2589254117941663*^-9, 2.7986914618040468*^-11}","{1.584893192461111*^-9, 3.045992807229855*^-11}","{1.9952623149688828*^-9, 3.3821758611826085*^-11}","{2.511886431509582*^-9, 3.8470892970798427*^-11}","{3.1622776601683795*^-9, 4.503079182588192*^-11}","{3.981071705534969*^-9, 5.448189270838899*^-11}","{5.011872336272715*^-9, 6.850565833109267*^-11}","{6.309573444801917*^-9, 8.98760894455943*^-11}","{7.943282347242822*^-9, 1.234280115459988*^-10}","{1.*^-8, 1.7777342047455296*^-10}","{1.2589254117941687*^-8, 2.686996871030668*^-10}","{1.5848931924611143*^-8, 4.2624362845341437*^-10}","{1.9952623149688786*^-8, 7.098258832325633*^-10}","{2.511886431509582*^-8, 1.2416548825844997*^-9}","{3.162277660168379*^-8, 2.282054935830113*^-9}","{3.981071705534969*^-8, 4.403105973901189*^-9}","{5.011872336272725*^-8, 8.896511846473571*^-9}","{6.30957344480193*^-8, 1.8743798091048803*^-8}","{7.943282347242805*^-8, 4.0935356666725523*^-8}","{1.*^-7, 9.201870696306504*^-8}","{1.2589254117941662*^-7, 2.1128100884471396*^-7}","{1.584893192461111*^-7, 4.917029827039587*^-7}","{1.995262314968883*^-7, 1.1517094527782332*^-6}","{2.5118864315095823*^-7, 2.6979588216571767*^-6}","{3.162277660168379*^-7, 6.286636003687457*^-6}","{3.981071705534969*^-7, 0.000014504778105343721}","{5.011872336272725*^-7, 0.00003301586357345725}","{6.30957344480193*^-7, 0.00007394258819262138}","{7.943282347242822*^-7, 0.0001626930052643373}","{1.*^-6, 0.0003515767593411552}"
